instant,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,range,range_temp
12696,2,1,6,4,0,1,1,2,0.54,0.5152,0.77,0.194,0,9,9,0-5,0.50-0.66
12697,2,1,6,5,0,1,1,3,0.52,0.5,0.83,0.1343,1,22,23,0-5,0.50-0.66
12698,2,1,6,6,0,1,1,3,0.52,0.5,0.88,0.1343,0,37,37,6-11,0.50-0.66
12699,2,1,6,7,0,1,1,3,0.52,0.5,0.94,0.2239,10,135,145,6-11,0.50-0.66
12700,2,1,6,8,0,1,1,2,0.54,0.5152,0.83,0.194,27,447,474,6-11,0.50-0.66
12701,2,1,6,9,0,1,1,2,0.54,0.5152,0.83,0.2239,28,222,250,6-11,0.50-0.66
12702,2,1,6,10,0,1,1,3,0.54,0.5152,0.88,0.1045,13,78,91,6-11,0.50-0.66
12703,2,1,6,11,0,1,1,2,0.54,0.5152,0.88,0.1642,25,96,121,6-11,0.50-0.66
12704,2,1,6,12,0,1,1,3,0.56,0.5303,0.78,0.1343,29,139,168,12-17,0.50-0.66
12705,2,1,6,13,0,1,1,2,0.58,0.5455,0.73,0.1343,51,174,225,12-17,0.50-0.66
12706,2,1,6,14,0,1,1,2,0.58,0.5455,0.68,0.194,59,160,219,12-17,0.50-0.66
12707,2,1,6,15,0,1,1,2,0.6,0.5909,0.69,0.194,61,176,237,12-17,0.50-0.66
12708,2,1,6,16,0,1,1,2,0.6,0.5909,0.73,0.194,53,279,332,12-17,0.50-0.66
12709,2,1,6,17,0,1,1,2,0.6,0.5909,0.73,0.194,54,669,723,12-17,0.50-0.66
12710,2,1,6,18,0,1,1,2,0.62,0.6061,0.69,0.1642,47,595,642,18-23,0.50-0.66
12711,2,1,6,19,0,1,1,2,0.62,0.5909,0.73,0.0896,52,411,463,18-23,0.50-0.66
12712,2,1,6,20,0,1,1,2,0.62,0.5909,0.73,0.1343,45,317,362,18-23,0.50-0.66
12713,2,1,6,21,0,1,1,2,0.62,0.5909,0.73,0.1045,35,238,273,18-23,0.50-0.66
12714,2,1,6,22,0,1,1,2,0.62,0.5909,0.73,0.1642,21,143,164,18-23,0.50-0.66
12715,2,1,6,23,0,1,1,3,0.6,0.5758,0.78,0.194,17,57,74,18-23,0.50-0.66
12716,2,1,6,0,0,2,1,2,0.6,0.5758,0.78,0.1642,5,30,35,0-5,0.50-0.66
12717,2,1,6,1,0,2,1,2,0.6,0.5758,0.78,0.1642,1,13,14,0-5,0.50-0.66
12718,2,1,6,2,0,2,1,2,0.6,0.5758,0.78,0.1343,1,14,15,0-5,0.50-0.66
12719,2,1,6,3,0,2,1,2,0.6,0.5758,0.78,0.1045,1,7,8,0-5,0.50-0.66
12720,2,1,6,4,0,2,1,2,0.6,0.5758,0.78,0.1343,1,9,10,0-5,0.50-0.66
12721,2,1,6,5,0,2,1,2,0.6,0.5758,0.78,0.194,3,34,37,0-5,0.50-0.66
12722,2,1,6,6,0,2,1,2,0.6,0.5758,0.78,0.1045,9,152,161,6-11,0.50-0.66
12723,2,1,6,7,0,2,1,2,0.6,0.5758,0.78,0.1343,18,462,480,6-11,0.50-0.66
12724,2,1,6,8,0,2,1,2,0.6,0.5758,0.78,0.1642,40,633,673,6-11,0.50-0.66
12725,2,1,6,9,0,2,1,1,0.64,0.6061,0.73,0.0896,40,288,328,6-11,0.50-0.66
12726,2,1,6,10,0,2,1,1,0.64,0.6061,0.73,0.0896,44,136,180,6-11,0.50-0.66
12727,2,1,6,11,0,2,1,1,0.66,0.6212,0.69,0.1343,56,174,230,6-11,0.66-1
12728,2,1,6,12,0,2,1,1,0.7,0.6515,0.65,0.0896,70,222,292,12-17,0.66-1
12729,2,1,6,13,0,2,1,1,0.74,0.6818,0.58,0.1343,69,203,272,12-17,0.66-1
12730,2,1,6,14,0,2,1,1,0.76,0.7121,0.58,0.1045,61,166,227,12-17,0.66-1
12731,2,1,6,15,0,2,1,1,0.78,0.7424,0.59,0.1642,72,187,259,12-17,0.66-1
12732,2,1,6,16,0,2,1,1,0.8,0.7576,0.55,0.2239,48,286,334,12-17,0.66-1
12733,2,1,6,17,0,2,1,1,0.8,0.7576,0.55,0.194,86,725,811,12-17,0.66-1
12734,2,1,6,18,0,2,1,1,0.8,0.7576,0.55,0.1642,91,704,795,18-23,0.66-1
12735,2,1,6,19,0,2,1,1,0.8,0.7727,0.59,0.2239,82,432,514,18-23,0.66-1
12736,2,1,6,20,0,2,1,1,0.8,0.7576,0.55,0.2537,59,399,458,18-23,0.66-1
12737,2,1,6,21,0,2,1,1,0.76,0.7121,0.62,0.1642,37,239,276,18-23,0.66-1
12738,2,1,6,22,0,2,1,1,0.72,0.697,0.79,0.0896,51,240,291,18-23,0.66-1
12739,2,1,6,23,0,2,1,1,0.72,0.697,0.79,0.1343,23,102,125,18-23,0.66-1
12740,2,1,6,0,0,3,1,1,0.7,0.6667,0.79,0.194,5,48,53,0-5,0.66-1
12741,2,1,6,1,0,3,1,1,0.68,0.6364,0.79,0.194,7,20,27,0-5,0.66-1
12742,2,1,6,2,0,3,1,1,0.66,0.6061,0.83,0.1642,1,5,6,0-5,0.66-1
12743,2,1,6,3,0,3,1,1,0.66,0.6061,0.83,0.1343,2,6,8,0-5,0.66-1
12744,2,1,6,4,0,3,1,1,0.66,0.6061,0.83,0.0896,1,6,7,0-5,0.66-1
12745,2,1,6,5,0,3,1,1,0.66,0.6061,0.83,0.0896,2,37,39,0-5,0.66-1
12746,2,1,6,6,0,3,1,2,0.64,0.5758,0.89,0.0896,9,156,165,6-11,0.50-0.66
12747,2,1,6,7,0,3,1,2,0.66,0.5909,0.89,0.0,20,444,464,6-11,0.66-1
12748,2,1,6,8,0,3,1,2,0.7,0.6667,0.79,0.1045,43,600,643,6-11,0.66-1
12749,2,1,6,9,0,3,1,2,0.72,0.697,0.74,0.0,40,276,316,6-11,0.66-1
12750,2,1,6,10,0,3,1,1,0.82,0.7727,0.52,0.1343,41,126,167,6-11,0.66-1
12751,2,1,6,11,0,3,1,1,0.84,0.7879,0.49,0.194,54,134,188,6-11,0.66-1
12752,2,1,6,12,0,3,1,1,0.86,0.803,0.47,0.1642,30,150,180,12-17,0.66-1
12753,2,1,6,13,0,3,1,1,0.86,0.7879,0.44,0.1045,48,163,211,12-17,0.66-1
12754,2,1,6,14,0,3,1,1,0.88,0.803,0.39,0.194,56,134,190,12-17,0.66-1
12755,2,1,6,15,0,3,1,1,0.9,0.8182,0.35,0.0,36,143,179,12-17,0.66-1
12756,2,1,6,16,0,3,1,1,0.9,0.8182,0.35,0.1045,51,284,335,12-17,0.66-1
12757,2,1,6,17,0,3,1,1,0.9,0.8182,0.37,0.0,80,611,691,12-17,0.66-1
12758,2,1,6,18,0,3,1,1,0.9,0.8182,0.37,0.0,81,591,672,18-23,0.66-1
12759,2,1,6,19,0,3,1,1,0.88,0.7879,0.37,0.2537,90,449,539,18-23,0.66-1
12760,2,1,6,20,0,3,1,1,0.86,0.7727,0.39,0.2239,81,326,407,18-23,0.66-1
12761,2,1,6,21,0,3,1,1,0.84,0.7576,0.44,0.0896,42,302,344,18-23,0.66-1
12762,2,1,6,22,0,3,1,1,0.82,0.7576,0.46,0.1045,31,226,257,18-23,0.66-1
12763,2,1,6,23,0,3,1,1,0.78,0.7424,0.59,0.1045,21,102,123,18-23,0.66-1
12764,3,1,6,0,0,4,1,1,0.74,0.697,0.7,0.0896,16,53,69,0-5,0.66-1
12765,3,1,6,1,0,4,1,1,0.72,0.697,0.79,0.1343,2,16,18,0-5,0.66-1
12766,3,1,6,2,0,4,1,1,0.72,0.697,0.79,0.1045,11,7,18,0-5,0.66-1
12767,3,1,6,3,0,4,1,1,0.72,0.697,0.74,0.0,3,8,11,0-5,0.66-1
12768,3,1,6,4,0,4,1,1,0.7,0.6667,0.84,0.0896,1,11,12,0-5,0.66-1
12769,3,1,6,5,0,4,1,1,0.7,0.6667,0.84,0.1045,3,37,40,0-5,0.66-1
12770,3,1,6,6,0,4,1,2,0.7,0.6667,0.84,0.0896,3,147,150,6-11,0.66-1
12771,3,1,6,7,0,4,1,2,0.7,0.6667,0.84,0.0896,26,437,463,6-11,0.66-1
12772,3,1,6,8,0,4,1,1,0.74,0.697,0.7,0.0,27,563,590,6-11,0.66-1
12773,3,1,6,9,0,4,1,1,0.8,0.7576,0.55,0.194,32,224,256,6-11,0.66-1
12774,3,1,6,10,0,4,1,1,0.84,0.7879,0.49,0.1045,36,114,150,6-11,0.66-1
12775,3,1,6,11,0,4,1,1,0.86,0.7879,0.41,0.1343,40,121,161,6-11,0.66-1
12776,3,1,6,12,0,4,1,1,0.9,0.8182,0.35,0.194,33,182,215,12-17,0.66-1
12777,3,1,6,13,0,4,1,1,0.9,0.8182,0.35,0.0,31,141,172,12-17,0.66-1
12778,3,1,6,14,0,4,1,1,0.88,0.7879,0.37,0.1642,27,149,176,12-17,0.66-1
12779,3,1,6,15,0,4,1,1,0.92,0.8333,0.33,0.1642,40,154,194,12-17,0.66-1
12780,3,1,6,16,0,4,1,1,0.9,0.8182,0.35,0.1343,37,283,320,12-17,0.66-1
12781,3,1,6,17,0,4,1,1,0.88,0.7879,0.37,0.0,80,535,615,12-17,0.66-1
12782,3,1,6,18,0,4,1,1,0.86,0.7879,0.41,0.194,78,562,640,18-23,0.66-1
12783,3,1,6,19,0,4,1,1,0.88,0.803,0.39,0.2239,84,415,499,18-23,0.66-1
12784,3,1,6,20,0,4,1,1,0.86,0.7879,0.44,0.194,79,357,436,18-23,0.66-1
12785,3,1,6,21,0,4,1,1,0.82,0.7727,0.52,0.194,55,256,311,18-23,0.66-1
12786,3,1,6,22,0,4,1,1,0.8,0.7879,0.63,0.1642,22,221,243,18-23,0.66-1
12787,3,1,6,23,0,4,1,1,0.8,0.7727,0.59,0.0896,12,134,146,18-23,0.66-1
12788,3,1,6,0,0,5,1,2,0.76,0.7273,0.7,0.1045,16,77,93,0-5,0.66-1
12789,3,1,6,1,0,5,1,1,0.76,0.7424,0.75,0.1642,3,28,31,0-5,0.66-1
12790,3,1,6,2,0,5,1,1,0.74,0.7121,0.79,0.0,0,12,12,0-5,0.66-1
12791,3,1,6,3,0,5,1,1,0.74,0.7121,0.79,0.0,1,6,7,0-5,0.66-1
12792,3,1,6,4,0,5,1,2,0.76,0.7273,0.66,0.0,3,7,10,0-5,0.66-1
12793,3,1,6,5,0,5,1,2,0.74,0.697,0.66,0.0896,3,35,38,0-5,0.66-1
12794,3,1,6,6,0,5,1,2,0.74,0.697,0.66,0.0,4,118,122,6-11,0.66-1
12795,3,1,6,7,0,5,1,1,0.74,0.6818,0.58,0.1642,19,340,359,6-11,0.66-1
12796,3,1,6,8,0,5,1,1,0.76,0.697,0.55,0.1343,49,564,613,6-11,0.66-1
12797,3,1,6,9,0,5,1,1,0.76,0.7121,0.58,0.2239,55,278,333,6-11,0.66-1
12798,3,1,6,10,0,5,1,1,0.8,0.7424,0.52,0.3582,52,133,185,6-11,0.66-1
12799,3,1,6,11,0,5,1,1,0.8,0.7424,0.49,0.1642,76,160,236,6-11,0.66-1
12800,3,1,6,12,0,5,1,1,0.84,0.7879,0.49,0.1343,63,191,254,12-17,0.66-1
12801,3,1,6,13,0,5,1,1,0.88,0.803,0.39,0.2239,72,228,300,12-17,0.66-1
12802,3,1,6,14,0,5,1,1,0.88,0.803,0.39,0.2239,65,198,263,12-17,0.66-1
12803,3,1,6,15,0,5,1,1,0.9,0.8182,0.35,0.3582,72,212,284,12-17,0.66-1
12804,3,1,6,16,0,5,1,1,0.9,0.803,0.31,0.2239,67,313,380,12-17,0.66-1
12805,3,1,6,17,0,5,1,2,0.82,0.7273,0.38,0.1642,95,551,646,12-17,0.66-1
12806,3,1,6,18,0,5,1,2,0.8,0.7576,0.55,0.194,62,443,505,18-23,0.66-1
12809,3,1,6,21,0,5,1,3,0.68,0.6364,0.65,0.2836,40,177,217,18-23,0.66-1
12810,3,1,6,22,0,5,1,1,0.68,0.6364,0.69,0.1343,42,155,197,18-23,0.66-1
12811,3,1,6,23,0,5,1,2,0.66,0.6212,0.74,0.0,29,145,174,18-23,0.66-1
12812,3,1,6,0,0,6,0,1,0.64,0.5758,0.83,0.0,14,102,116,0-5,0.50-0.66
12813,3,1,6,1,0,6,0,1,0.66,0.6061,0.78,0.1343,16,107,123,0-5,0.66-1
12814,3,1,6,2,0,6,0,2,0.64,0.5758,0.83,0.194,18,75,93,0-5,0.50-0.66
12815,3,1,6,3,0,6,0,2,0.64,0.5758,0.83,0.0896,10,32,42,0-5,0.50-0.66
12816,3,1,6,4,0,6,0,2,0.64,0.5758,0.83,0.1642,6,13,19,0-5,0.50-0.66
12817,3,1,6,5,0,6,0,2,0.64,0.5758,0.83,0.194,1,11,12,0-5,0.50-0.66
12818,3,1,6,6,0,6,0,1,0.64,0.5758,0.83,0.0896,10,37,47,6-11,0.50-0.66
12819,3,1,6,7,0,6,0,1,0.64,0.5758,0.83,0.1642,19,59,78,6-11,0.50-0.66
12820,3,1,6,8,0,6,0,1,0.68,0.6364,0.69,0.2239,34,133,167,6-11,0.66-1
12821,3,1,6,9,0,6,0,1,0.72,0.6818,0.62,0.194,85,247,332,6-11,0.66-1
12822,3,1,6,10,0,6,0,1,0.74,0.6818,0.55,0.194,177,317,494,6-11,0.66-1
12823,3,1,6,11,0,6,0,1,0.76,0.6818,0.48,0.2239,167,349,516,6-11,0.66-1
12824,3,1,6,12,0,6,0,1,0.8,0.7273,0.43,0.194,203,399,602,12-17,0.66-1
12825,3,1,6,13,0,6,0,1,0.82,0.7273,0.34,0.194,226,338,564,12-17,0.66-1
12826,3,1,6,14,0,6,0,1,0.78,0.6818,0.33,0.2537,238,371,609,12-17,0.66-1
12827,3,1,6,15,0,6,0,1,0.84,0.7273,0.3,0.3284,217,266,483,12-17,0.66-1
12828,3,1,6,16,0,6,0,1,0.84,0.7121,0.26,0.2985,196,317,513,12-17,0.66-1
12829,3,1,6,17,0,6,0,1,0.82,0.7121,0.26,0.2537,214,316,530,12-17,0.66-1
12830,3,1,6,18,0,6,0,1,0.82,0.7121,0.26,0.2985,194,287,481,18-23,0.66-1
12831,3,1,6,19,0,6,0,1,0.8,0.697,0.27,0.194,185,240,425,18-23,0.66-1
12832,3,1,6,20,0,6,0,1,0.78,0.6818,0.31,0.194,158,228,386,18-23,0.66-1
12833,3,1,6,21,0,6,0,1,0.76,0.6667,0.33,0.1343,99,223,322,18-23,0.66-1
12834,3,1,6,22,0,6,0,1,0.74,0.6515,0.37,0.1045,101,178,279,18-23,0.66-1
12835,3,1,6,23,0,6,0,1,0.72,0.6515,0.44,0.0,69,156,225,18-23,0.66-1
12836,3,1,6,0,0,0,0,1,0.7,0.6515,0.51,0.0,31,132,163,0-5,0.66-1
12837,3,1,6,1,0,0,0,2,0.68,0.6364,0.54,0.0896,39,88,127,0-5,0.66-1
12838,3,1,6,2,0,0,0,2,0.68,0.6364,0.51,0.0,34,80,114,0-5,0.66-1
12839,3,1,6,3,0,0,0,2,0.66,0.6212,0.65,0.0896,19,41,60,0-5,0.66-1
12840,3,1,6,4,0,0,0,2,0.66,0.6212,0.65,0.0,4,9,13,0-5,0.66-1
12841,3,1,6,5,0,0,0,1,0.62,0.6061,0.69,0.1343,1,7,8,0-5,0.50-0.66
12842,3,1,6,6,0,0,0,1,0.64,0.6061,0.65,0.1642,6,19,25,6-11,0.50-0.66
12843,3,1,6,7,0,0,0,1,0.64,0.6061,0.69,0.1045,23,48,71,6-11,0.50-0.66
12844,3,1,6,8,0,0,0,1,0.7,0.6515,0.58,0.0,38,103,141,6-11,0.66-1
12845,3,1,6,9,0,0,0,1,0.72,0.6667,0.51,0.0,63,169,232,6-11,0.66-1
12846,3,1,6,10,0,0,0,1,0.76,0.6818,0.4,0.0,161,291,452,6-11,0.66-1
12847,3,1,6,11,0,0,0,1,0.76,0.6818,0.4,0.1343,215,291,506,6-11,0.66-1
12848,3,1,6,12,0,0,0,1,0.8,0.697,0.33,0.2239,227,329,556,12-17,0.66-1
12849,3,1,6,13,0,0,0,1,0.8,0.697,0.33,0.2836,237,348,585,12-17,0.66-1
12850,3,1,6,14,0,0,0,1,0.84,0.7273,0.3,0.2985,253,298,551,12-17,0.66-1
12851,3,1,6,15,0,0,0,1,0.86,0.7424,0.28,0.2239,197,290,487,12-17,0.66-1
12852,3,1,6,16,0,0,0,1,0.84,0.7273,0.3,0.2537,181,280,461,12-17,0.66-1
12853,3,1,6,17,0,0,0,1,0.84,0.7273,0.32,0.2537,203,329,532,12-17,0.66-1
12854,3,1,6,18,0,0,0,1,0.82,0.7273,0.34,0.2537,186,348,534,18-23,0.66-1
12855,3,1,6,19,0,0,0,1,0.8,0.7121,0.38,0.2985,176,247,423,18-23,0.66-1
12856,3,1,6,20,0,0,0,1,0.78,0.697,0.46,0.2537,108,224,332,18-23,0.66-1
12857,3,1,6,21,0,0,0,1,0.76,0.697,0.55,0.2239,76,177,253,18-23,0.66-1
12858,3,1,6,22,0,0,0,1,0.74,0.6818,0.55,0.1045,53,125,178,18-23,0.66-1
12859,3,1,6,23,0,0,0,1,0.74,0.6818,0.58,0.1045,20,67,87,18-23,0.66-1
12860,3,1,6,0,0,1,1,1,0.72,0.6818,0.62,0.2537,31,37,68,0-5,0.66-1
12861,3,1,6,1,0,1,1,1,0.7,0.6515,0.65,0.2239,11,20,31,0-5,0.66-1
12862,3,1,6,2,0,1,1,1,0.7,0.6515,0.7,0.2239,4,10,14,0-5,0.66-1
12863,3,1,6,3,0,1,1,1,0.68,0.6364,0.69,0.2537,1,4,5,0-5,0.66-1
12864,3,1,6,4,0,1,1,1,0.66,0.6061,0.78,0.2537,0,4,4,0-5,0.66-1
12865,3,1,6,5,0,1,1,1,0.66,0.6212,0.74,0.1642,1,42,43,0-5,0.66-1
12866,3,1,6,6,0,1,1,1,0.64,0.5909,0.78,0.1642,11,147,158,6-11,0.50-0.66
12867,3,1,6,7,0,1,1,1,0.66,0.6212,0.74,0.2239,30,455,485,6-11,0.66-1
12868,3,1,6,8,0,1,1,1,0.66,0.6212,0.69,0.194,53,555,608,6-11,0.66-1
12869,3,1,6,9,0,1,1,1,0.7,0.6515,0.65,0.194,37,231,268,6-11,0.66-1
12870,3,1,6,10,0,1,1,1,0.76,0.697,0.55,0.1642,58,126,184,6-11,0.66-1
12871,3,1,6,11,0,1,1,1,0.8,0.7273,0.43,0.3284,54,127,181,6-11,0.66-1
12872,3,1,6,12,0,1,1,2,0.76,0.6818,0.45,0.2985,74,196,270,12-17,0.66-1
12873,3,1,6,13,0,1,1,1,0.72,0.6667,0.51,0.2985,79,181,260,12-17,0.66-1
12874,3,1,6,14,0,1,1,1,0.78,0.697,0.43,0.2537,90,161,251,12-17,0.66-1
12881,3,1,6,21,0,1,1,1,0.68,0.6212,0.3,0.3284,50,281,331,18-23,0.66-1
12883,3,1,6,23,0,1,1,1,0.64,0.6212,0.33,0.3284,15,88,103,18-23,0.50-0.66
12884,3,1,6,0,0,2,1,1,0.62,0.6212,0.33,0.3284,8,29,37,0-5,0.50-0.66
12886,3,1,6,2,0,2,1,1,0.56,0.5303,0.43,0.2836,2,7,9,0-5,0.50-0.66
12887,3,1,6,3,0,2,1,1,0.54,0.5152,0.45,0.2836,2,7,9,0-5,0.50-0.66
12888,3,1,6,4,0,2,1,1,0.54,0.5152,0.45,0.2985,1,9,10,0-5,0.50-0.66
12890,3,1,6,6,0,2,1,1,0.52,0.5,0.52,0.2985,12,176,188,6-11,0.50-0.66
12891,3,1,6,7,0,2,1,1,0.52,0.5,0.52,0.3582,21,531,552,6-11,0.50-0.66
12892,3,1,6,8,0,2,1,1,0.56,0.5303,0.49,0.3284,34,622,656,6-11,0.50-0.66
12894,3,1,6,10,0,2,1,1,0.62,0.6212,0.41,0.3582,37,153,190,6-11,0.50-0.66
12902,3,1,6,18,0,2,1,1,0.72,0.6515,0.28,0.3582,105,719,824,18-23,0.66-1
12903,3,1,6,19,0,2,1,1,0.72,0.6515,0.28,0.2239,83,529,612,18-23,0.66-1
12904,3,1,6,20,0,2,1,1,0.7,0.6364,0.3,0.2836,88,417,505,18-23,0.66-1
12905,3,1,6,21,0,2,1,1,0.68,0.6364,0.34,0.194,61,267,328,18-23,0.66-1
12906,3,1,6,22,0,2,1,1,0.66,0.6212,0.34,0.2537,26,219,245,18-23,0.66-1
12907,3,1,6,23,0,2,1,1,0.62,0.6212,0.41,0.1343,13,118,131,18-23,0.50-0.66
12908,3,1,6,0,0,3,1,1,0.62,0.6212,0.41,0.194,15,39,54,0-5,0.50-0.66
12909,3,1,6,1,0,3,1,1,0.6,0.6212,0.43,0.1642,5,18,23,0-5,0.50-0.66
12910,3,1,6,2,0,3,1,1,0.56,0.5303,0.49,0.1343,2,12,14,0-5,0.50-0.66
12911,3,1,6,3,0,3,1,1,0.58,0.5455,0.46,0.0896,1,7,8,0-5,0.50-0.66
12912,3,1,6,4,0,3,1,1,0.6,0.6212,0.4,0.2537,0,11,11,0-5,0.50-0.66
12913,3,1,6,5,0,3,1,1,0.6,0.6212,0.43,0.2836,2,34,36,0-5,0.50-0.66
12914,3,1,6,6,0,3,1,1,0.58,0.5455,0.46,0.2836,7,193,200,6-11,0.50-0.66
12915,3,1,6,7,0,3,1,1,0.6,0.6212,0.43,0.3582,29,498,527,6-11,0.50-0.66
12916,3,1,6,8,0,3,1,1,0.62,0.6212,0.43,0.3284,49,638,687,6-11,0.50-0.66
12917,3,1,6,9,0,3,1,1,0.66,0.6212,0.41,0.3582,29,253,282,6-11,0.66-1
12918,3,1,6,10,0,3,1,1,0.7,0.6364,0.37,0.2537,34,138,172,6-11,0.66-1
12919,3,1,6,11,0,3,1,1,0.74,0.6515,0.3,0.3284,64,145,209,6-11,0.66-1
12920,3,1,6,12,0,3,1,1,0.76,0.6667,0.29,0.2985,77,245,322,12-17,0.66-1
12921,3,1,6,13,0,3,1,1,0.8,0.697,0.27,0.3284,77,244,321,12-17,0.66-1
12922,3,1,6,14,0,3,1,1,0.8,0.6818,0.24,0.3582,78,192,270,12-17,0.66-1
12926,3,1,6,18,0,3,1,1,0.8,0.697,0.27,0.3284,85,719,804,18-23,0.66-1
12927,3,1,6,19,0,3,1,1,0.78,0.6818,0.29,0.3284,101,542,643,18-23,0.66-1
12928,3,1,6,20,0,3,1,1,0.76,0.6667,0.31,0.194,76,369,445,18-23,0.66-1
12929,3,1,6,21,0,3,1,1,0.74,0.6515,0.35,0.1343,54,313,367,18-23,0.66-1
12930,3,1,6,22,0,3,1,1,0.72,0.6515,0.39,0.0896,52,245,297,18-23,0.66-1
12931,3,1,6,23,0,3,1,1,0.68,0.6364,0.47,0.1343,11,148,159,18-23,0.66-1
12932,3,1,6,0,0,4,1,1,0.66,0.6212,0.5,0.1045,2,52,54,0-5,0.66-1
12933,3,1,6,1,0,4,1,1,0.66,0.6212,0.54,0.0,11,14,25,0-5,0.66-1
12934,3,1,6,2,0,4,1,1,0.66,0.6212,0.5,0.0896,1,12,13,0-5,0.66-1
12935,3,1,6,3,0,4,1,1,0.66,0.6212,0.5,0.0896,1,6,7,0-5,0.66-1
12936,3,1,6,4,0,4,1,1,0.62,0.6061,0.61,0.1045,0,11,11,0-5,0.50-0.66
12937,3,1,6,5,0,4,1,1,0.62,0.6212,0.57,0.0896,8,39,47,0-5,0.50-0.66
12938,3,1,6,6,0,4,1,1,0.62,0.6212,0.57,0.0896,8,185,193,6-11,0.50-0.66
12939,3,1,6,7,0,4,1,1,0.62,0.6061,0.61,0.1045,24,484,508,6-11,0.50-0.66
12940,3,1,6,8,0,4,1,1,0.66,0.6212,0.5,0.1343,40,577,617,6-11,0.66-1
12941,3,1,6,9,0,4,1,1,0.7,0.6515,0.54,0.1642,33,318,351,6-11,0.66-1
12942,3,1,6,10,0,4,1,1,0.74,0.6667,0.48,0.194,40,144,184,6-11,0.66-1
12943,3,1,6,11,0,4,1,1,0.8,0.697,0.31,0.194,41,170,211,6-11,0.66-1
12944,3,1,6,12,0,4,1,1,0.84,0.7121,0.26,0.2836,49,227,276,12-17,0.66-1
12945,3,1,6,13,0,4,1,1,0.86,0.7424,0.26,0.2239,31,205,236,12-17,0.66-1
12946,3,1,6,14,0,4,1,1,0.86,0.7273,0.25,0.3284,66,188,254,12-17,0.66-1
12947,3,1,6,15,0,4,1,1,0.86,0.7273,0.25,0.3284,24,195,219,12-17,0.66-1
12948,3,1,6,16,0,4,1,1,0.88,0.7424,0.23,0.194,56,331,387,12-17,0.66-1
12949,3,1,6,17,0,4,1,1,0.88,0.7424,0.22,0.194,71,634,705,12-17,0.66-1
12950,3,1,6,18,0,4,1,1,0.86,0.7273,0.25,0.2239,100,597,697,18-23,0.66-1
12951,3,1,6,19,0,4,1,1,0.84,0.7273,0.3,0.2985,79,492,571,18-23,0.66-1
12952,3,1,6,20,0,4,1,1,0.82,0.7273,0.34,0.194,71,399,470,18-23,0.66-1
12953,3,1,6,21,0,4,1,1,0.76,0.697,0.55,0.194,89,309,398,18-23,0.66-1
12954,3,1,6,22,0,4,1,1,0.76,0.697,0.52,0.1642,50,224,274,18-23,0.66-1
12955,3,1,6,23,0,4,1,1,0.74,0.6667,0.48,0.1343,26,145,171,18-23,0.66-1
12956,3,1,6,0,0,5,1,1,0.74,0.6667,0.48,0.1343,24,90,114,0-5,0.66-1
12957,3,1,6,1,0,5,1,1,0.74,0.6667,0.51,0.1642,9,33,42,0-5,0.66-1
12958,3,1,6,2,0,5,1,1,0.72,0.6667,0.58,0.194,3,15,18,0-5,0.66-1
12959,3,1,6,3,0,5,1,1,0.72,0.6667,0.58,0.194,3,5,8,0-5,0.66-1
12960,3,1,6,4,0,5,1,1,0.7,0.6515,0.65,0.1642,1,9,10,0-5,0.66-1
12961,3,1,6,5,0,5,1,1,0.7,0.6515,0.61,0.1045,6,39,45,0-5,0.66-1
12962,3,1,6,6,0,5,1,2,0.7,0.6515,0.61,0.1642,15,148,163,6-11,0.66-1
12963,3,1,6,7,0,5,1,1,0.7,0.6515,0.61,0.1045,19,361,380,6-11,0.66-1
12964,3,1,6,8,0,5,1,2,0.74,0.6818,0.55,0.1045,48,576,624,6-11,0.66-1
12965,3,1,6,9,0,5,1,1,0.76,0.697,0.55,0.1642,39,261,300,6-11,0.66-1
12966,3,1,6,10,0,5,1,1,0.9,0.8333,0.39,0.2985,32,139,171,6-11,0.66-1
12967,3,1,6,11,0,5,1,2,0.9,0.8485,0.42,0.2836,51,137,188,6-11,0.66-1
12968,3,1,6,12,0,5,1,2,0.92,0.8788,0.4,0.2537,53,173,226,12-17,0.66-1
12969,3,1,6,13,0,5,1,1,0.94,0.8788,0.38,0.194,45,194,239,12-17,0.66-1
12970,3,1,6,14,0,5,1,1,0.96,0.9091,0.36,0.2239,49,184,233,12-17,0.66-1
12971,3,1,6,15,0,5,1,1,0.96,0.9091,0.36,0.0,47,183,230,12-17,0.66-1
12972,3,1,6,16,0,5,1,1,0.96,0.9091,0.36,0.0,59,292,351,12-17,0.66-1
12973,3,1,6,17,0,5,1,1,0.98,0.9242,0.34,0.194,82,457,539,12-17,0.66-1
12974,3,1,6,18,0,5,1,1,0.96,0.8636,0.31,0.0,50,414,464,18-23,0.66-1
12975,3,1,6,19,0,5,1,1,0.9,0.8788,0.47,0.194,60,303,363,18-23,0.66-1
12976,3,1,6,20,0,5,1,1,0.92,0.8939,0.42,0.2537,53,255,308,18-23,0.66-1
12977,3,1,6,21,0,5,1,2,0.86,0.8333,0.53,0.194,41,195,236,18-23,0.66-1
12978,3,1,6,22,0,5,1,3,0.82,0.8333,0.63,0.194,34,129,163,18-23,0.66-1
12979,3,1,6,23,0,5,1,3,0.82,0.8333,0.63,0.194,6,42,48,18-23,0.66-1
